Store,Weekly_Sales,Date,Predicted_Sales
1,1643690.9,2010-02-05,1643690.9
1,1641957.44,2010-02-12,1641957.44
1,1611968.17,2010-02-19,1611968.17
1,1409727.59,2010-02-26,1409727.59
1,1554806.68,2010-03-05,1554806.68
1,1439541.59,2010-03-12,1439541.59
1,1472515.79,2010-03-19,1472515.79
1,1404429.92,2010-03-26,1404429.92
1,1594968.28,2010-04-02,1594968.28
1,1545418.53,2010-04-09,1545418.53
1,1466058.28,2010-04-16,1466058.28
1,1391256.12,2010-04-23,1391256.12
1,1425100.71,2010-04-30,1425100.71
1,1603955.12,2010-05-07,1603955.12
1,1494251.5,2010-05-14,1494251.5
1,1399662.07,2010-05-21,1399662.07
1,1432069.95,2010-05-28,1432069.95
1,1615524.71,2010-06-04,1615524.71
1,1542561.09,2010-06-11,1542561.09
1,1503284.06,2010-06-18,1503284.06
1,1422711.6,2010-06-25,1422711.6
1,1492418.14,2010-07-02,1492418.14
1,1546074.18,2010-07-09,1546074.18
1,1448938.92,2010-07-16,1448938.92
1,1385065.2,2010-07-23,1385065.2
1,1371986.6,2010-07-30,1371986.6
1,1605491.78,2010-08-06,1605491.78
1,1508237.76,2010-08-13,1508237.76
1,1513080.49,2010-08-20,1513080.49
1,1449142.92,2010-08-27,1449142.92
1,1540163.53,2010-09-03,1540163.53
1,1507460.69,2010-09-10,1507460.69
1,1430378.67,2010-09-17,1430378.67
1,1351791.03,2010-09-24,1351791.03
1,1453329.5,2010-10-01,1453329.5
1,1508239.93,2010-10-08,1508239.93
1,1459409.1,2010-10-15,1459409.1
1,1345454.0,2010-10-22,1345454.0
1,1384209.22,2010-10-29,1384209.22
1,1551659.28,2010-11-05,1551659.28
1,1494479.49,2010-11-12,1494479.49
1,1483784.18,2010-11-19,1483784.18
1,1955624.11,2010-11-26,1955624.11
1,1548033.78,2010-12-03,1548033.78
1,1682614.26,2010-12-10,1682614.26
1,1891034.93,2010-12-17,1891034.93
1,2387950.2,2010-12-24,2387950.2
1,1367320.01,2010-12-31,1367320.01
1,1444732.28,2011-01-07,1444732.28
1,1391013.96,2011-01-14,1391013.96
1,1327405.42,2011-01-21,1327405.42
1,1316899.31,2011-01-28,1316899.31
1,1606629.58,2011-02-04,1606629.58
1,1649614.93,2011-02-11,1649614.93
1,1686842.78,2011-02-18,1686842.78
1,1456800.28,2011-02-25,1456800.28
1,1636263.41,2011-03-04,1636263.41
1,1553191.63,2011-03-11,1553191.63
1,1576818.06,2011-03-18,1576818.06
1,1541102.38,2011-03-25,1541102.38
1,1495064.75,2011-04-01,1495064.75
1,1614259.35,2011-04-08,1614259.35
1,1559889.0,2011-04-15,1559889.0
1,1564819.81,2011-04-22,1564819.81
1,1455090.69,2011-04-29,1455090.69
1,1629391.28,2011-05-06,1629391.28
1,1604775.58,2011-05-13,1604775.58
1,1428218.27,2011-05-20,1428218.27
1,1466046.67,2011-05-27,1466046.67
1,1635078.41,2011-06-03,1635078.41
1,1588948.32,2011-06-10,1588948.32
1,1532114.86,2011-06-17,1532114.86
1,1438830.15,2011-06-24,1438830.15
1,1488538.09,2011-07-01,1488538.09
