Date,Actual_Sales,Forecast_Sales,Lower_CI,Upper_CI
2012-05-04,47124197.93,48450598.68134555,43957521.95692584,52943675.405765265
2012-05-11,46925878.99,46192153.26070316,41621214.65600294,50763091.865403384
2012-05-18,46823939.22,45570509.421804324,40973983.12462372,50167035.718984924
2012-05-25,47892463.31,46881180.40267767,42281829.8122086,51480530.99314674
2012-06-01,48281649.72,49314967.11983341,44709349.897014216,53920584.342652604
2012-06-08,49651171.78,47947353.82236686,43336463.673217714,52558243.97151601
2012-06-15,48412110.7,47875045.388057455,43258652.75724128,52491438.01887363
2012-06-22,47668284.97,46722183.80086866,42100354.16835188,51344013.43338544
2012-06-29,46597112.12,47876645.912694246,43249371.22789035,52503920.59749814
2012-07-06,51253021.88,48779679.96354425,44146970.31006102,53412389.61702748
2012-07-13,46099732.1,47071063.21080485,42432924.14681577,51709202.27479393
2012-07-20,46059543.45,46543738.780429274,41900176.94934303,51187300.611515515
2012-07-27,44097154.97,45949801.38459879,41300823.12708884,50598779.642108746
2012-08-03,47485899.56,49100968.13439001,44446579.83250111,53755356.43627891
2012-08-10,47403451.04,48071681.24705461,43411889.23957494,52731473.254534274
2012-08-17,47354452.05,48884770.194689825,44219580.798610635,53549959.590769015
2012-08-24,47447323.6,48822849.49853155,44152269.004224285,53493429.992838815
2012-08-31,47159639.43,48234145.937685266,43558180.61056033,52910111.264810205
2012-09-07,48330059.31,48954386.17082496,44273042.25136414,53635730.09028578
2012-09-14,44226038.65,46477053.57475868,41790337.27892955,51163769.87058781
2012-09-21,44354547.11,45666978.82363804,40974896.343194336,50359061.30408174
2012-09-28,43734899.4,45563691.86514485,40866249.367936924,50261134.36235277
2012-10-05,47566639.31,49995935.114222124,45293138.74448776,54698731.483956486
2012-10-12,46128514.25,47812125.46746975,43103981.34611375,52520269.588825755
2012-10-19,45122410.57,48595188.29203725,43881702.51689864,53308674.06717586
2012-10-26,45544116.29,48622064.90375812,43903243.54986619,53340886.257650055
